sum	gcn	0.5000	256	4	relu	ogbg-molbace	97.1214	0.3169	79.5776	3.5847
sum	gat	0.5000	256	4	relu	ogbg-molbace	95.8120	0.3682	78.4105	4.0082
sum	unet	0.5000	256	4	relu	ogbg-molbace	95.8516	0.5383	78.0634	3.3960
sum	gcn	0.5000	256	4	relu	ogbg-molbbbp	97.8180	0.3022	81.8943	2.5814
sum	gat	0.5000	256	4	relu	ogbg-molbbbp	97.5401	0.1987	80.7987	2.1786
sum	unet	0.5000	256	4	relu	ogbg-molbbbp	97.6301	0.2135	81.9481	3.1908
sum	gcn	0.5000	256	4	relu	ogbg-molhiv	93.4527	0.5658	69.5756	2.3129
sum	gat	0.5000	256	4	relu	ogbg-molhiv	72.2612	1.0167	66.7423	2.1578
sum	unet	0.5000	256	4	relu	ogbg-molhiv	67.8744	1.8033	65.1289	2.0313
ws	gcn	0.5000	256	4	relu	ogbg-molbace	96.5555	0.5416	78.4787	2.3108
ws	gat	0.5000	256	4	relu	ogbg-molbace	94.5451	0.9590	81.3257	3.0435
ws	unet	0.5000	256	4	relu	ogbg-molbace	93.9293	1.1029	81.3429	1.4995
ws	gcn	0.5000	256	4	relu	ogbg-molbbbp	98.0449	0.2594	83.4416	4.1272
ws	gat	0.5000	256	4	relu	ogbg-molbbbp	97.7040	0.2749	82.8602	2.8253
ws	unet	0.5000	256	4	relu	ogbg-molbbbp	97.3787	0.4131	83.1429	2.9554
ws	gcn	0.5000	256	4	relu	ogbg-molhiv	85.5468	1.2637	70.8452	2.2187
ws	gat	0.5000	256	4	relu	ogbg-molhiv	71.8176	1.0270	68.2853	3.2997
ws	unet	0.5000	256	4	relu	ogbg-molhiv	60.5225	1.4539	59.9452	1.7477
