0.5000	4	relu	IMDB-BINARY	76.7889	1.5693	72.0000	5.0596
0.0000	1	relu	MUTAG	96.8079	1.5027	87.1930	3.7486
0.0000	1	relu	IMDB-BINARY	71.5333	7.2040	69.6000	7.2691
0.0000	1	relu	IMDB-MULTI	48.9333	0.6935	47.2667	3.7411
0.0000	1	relu	NCI1	84.0876	1.4283	74.7689	1.6396
0.0000	1	relu	Mutagenicity	81.5719	3.0544	74.4305	2.8603
0.0000	1	relu	PROTEINS	80.0738	2.9050	74.8431	4.5863
0.0000	2	relu	MUTAG	97.7536	1.4450	86.0526	7.8872
0.0000	2	relu	IMDB-BINARY	75.8000	1.2657	70.8000	4.7707
0.0000	2	relu	IMDB-MULTI	49.8222	0.7855	48.0000	3.4769
0.0000	2	relu	NCI1	89.3485	1.9900	75.2311	1.5798
0.0000	2	relu	Mutagenicity	87.8537	2.9424	76.5747	2.5436
0.0000	2	relu	PROTEINS	89.4579	4.4066	70.7103	4.1997
0.0000	4	relu	MUTAG	97.9325	1.2979	85.0877	6.2288
0.0000	4	relu	IMDB-BINARY	75.3889	1.3130	72.2000	2.6000
0.0000	4	relu	NCI1	95.0311	0.5642	76.9830	2.1631
0.0000	4	relu	IMDB-MULTI	49.8370	1.0718	47.6667	2.9098
0.0000	4	relu	Mutagenicity	90.1904	2.8185	77.9791	1.3830
0.0000	4	relu	PROTEINS	94.6594	2.4448	70.2582	4.3530
0.0000	8	relu	MUTAG	97.9896	0.9626	85.1170	3.9108
0.0000	8	relu	IMDB-BINARY	76.4889	2.4334	70.2000	5.5462
0.0000	8	relu	IMDB-MULTI	49.8000	1.2068	47.3333	2.8284
0.0000	8	relu	NCI1	96.3287	0.7925	77.5912	2.4463
0.0000	8	relu	Mutagenicity	88.3532	6.2222	77.6572	2.4146
0.0000	8	relu	PROTEINS	93.9200	3.5164	67.0117	4.4473
0.1000	1	relu	MUTAG	93.9725	1.5571	83.4503	6.1781
0.1000	1	relu	IMDB-BINARY	75.9889	1.3567	72.0000	3.0332
0.1000	1	relu	NCI1	80.2730	1.4222	74.6472	0.9720
0.1000	1	relu	IMDB-MULTI	49.5926	0.8519	47.4667	3.8736
0.1000	1	relu	Mutagenicity	79.0127	1.7713	74.9590	2.6736
0.1000	1	relu	PROTEINS	81.9999	2.5586	72.9553	2.5651
