64	1	0.0000	PROTEINS	93.2713	1.7302	72.2346	3.2775
64	1	0.0000	MUTAG	95.3296	2.3895	81.3158	8.0952
64	1	0.0000	IMDB-BINARY	72.7333	0.9483	70.1000	3.9862
128	1	0.0000	PROTEINS	92.7224	2.7750	70.7030	2.8557
128	1	0.0000	MUTAG	92.8486	1.8976	82.9532	8.5529
64	1	0.0000	Mutagenicity	91.4611	1.9164	79.1337	2.1296
64	1	0.0000	NCI1	96.7315	0.6242	79.5377	2.3323
128	1	0.0000	IMDB-BINARY	73.2111	0.4647	71.1000	4.3000
256	1	0.0000	PROTEINS	89.4681	2.3797	71.2476	2.6829
256	1	0.0000	MUTAG	98.1678	1.1052	81.4327	6.2347
128	1	0.0000	Mutagenicity	88.9837	3.8397	78.8795	2.1040
128	1	0.0000	NCI1	96.6531	0.5760	78.8808	2.1811
256	1	0.0000	IMDB-BINARY	73.2333	0.5499	70.7000	4.3829
512	1	0.0000	PROTEINS	86.0144	3.8537	73.1395	5.2067
512	1	0.0000	MUTAG	98.1096	0.8244	81.9006	8.5832
256	1	0.0000	NCI1	96.4098	0.4216	78.7105	1.0047
256	1	0.0000	Mutagenicity	89.7779	3.0335	78.5343	1.5071
512	1	0.0000	IMDB-BINARY	74.5333	0.9119	71.4000	4.5211
512	1	0.0000	NCI1	95.1852	0.9617	78.0779	1.3213
1024	1	0.0000	PROTEINS	85.3751	1.8563	72.3271	2.8657
512	1	0.0000	Mutagenicity	90.0239	2.5876	78.9725	1.1601
1024	1	0.0000	MUTAG	97.9314	0.6062	85.0877	5.7670
1024	1	0.0000	IMDB-BINARY	75.4556	0.9869	72.8000	4.2615
1024	1	0.0000	NCI1	90.3785	1.7238	77.0316	1.6329
1024	1	0.0000	Mutagenicity	87.7181	1.3077	78.3032	1.5414
64	1	0.5000	PROTEINS	92.9819	2.3329	70.0812	2.6656
64	1	0.5000	MUTAG	94.7964	2.3672	84.5614	6.0560
64	1	0.5000	IMDB-BINARY	73.4667	0.4439	71.4000	4.3863
128	1	0.5000	PROTEINS	93.1818	2.9318	69.8978	2.0678
128	1	0.5000	MUTAG	92.1977	0.8352	86.1696	5.3757
64	1	0.5000	NCI1	96.8829	0.6021	79.6837	1.6760
64	1	0.5000	Mutagenicity	91.8350	2.0322	79.9173	1.3650
128	1	0.5000	IMDB-BINARY	73.5111	0.7357	71.2000	3.4293
256	1	0.5000	PROTEINS	89.8574	2.4435	70.8896	2.5384
256	1	0.5000	MUTAG	97.5761	0.9702	85.6725	6.6175
128	1	0.5000	NCI1	96.4747	0.5434	78.6375	2.2637
128	1	0.5000	Mutagenicity	88.7020	3.5449	78.5796	1.6446
256	1	0.5000	IMDB-BINARY	72.9667	0.7098	70.2000	4.9356
512	1	0.5000	PROTEINS	86.0343	3.7318	73.4942	4.7056
256	1	0.5000	NCI1	96.3423	0.4271	78.5645	1.1742
512	1	0.5000	MUTAG	97.6373	1.1488	84.0351	6.7139
256	1	0.5000	Mutagenicity	88.7327	4.4324	78.8328	1.9691
512	1	0.5000	IMDB-BINARY	74.0000	0.9467	71.9000	4.1581
512	1	0.5000	NCI1	95.3285	0.7780	77.6399	1.2757
512	1	0.5000	Mutagenicity	89.8496	2.2794	78.7410	1.6147
1024	1	0.5000	PROTEINS	84.8658	1.5938	71.5138	3.3287
1024	1	0.5000	MUTAG	98.3453	0.7382	88.2749	6.7219
1024	1	0.5000	IMDB-BINARY	74.7333	1.0957	71.7000	4.4283
1024	1	0.5000	NCI1	90.4461	1.7357	77.0073	1.2840
1024	1	0.5000	Mutagenicity	87.6848	1.1069	78.3263	1.2363
64	4	0.0000	PROTEINS	95.4976	1.5091	69.2736	4.8669
64	4	0.0000	MUTAG	98.4041	0.8798	86.1988	5.8022
64	4	0.0000	IMDB-BINARY	73.0778	1.0670	69.4000	4.0050
64	4	0.0000	NCI1	97.7480	0.1558	80.1460	1.7246
64	4	0.0000	Mutagenicity	93.6490	3.3530	79.5708	1.4632
128	4	0.0000	PROTEINS	96.4560	0.8497	70.1737	1.6862
128	4	0.0000	MUTAG	95.9245	2.9923	87.7778	3.3231
128	4	0.0000	IMDB-BINARY	73.2556	0.8463	71.5000	4.6098
128	4	0.0000	NCI1	97.7724	0.1426	80.2676	1.8480
256	4	0.0000	PROTEINS	96.3261	0.5962	71.1567	2.4481
